url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,206,175
/shalenMathew/MovieFlix_App/releases/tag/v1.4,27,22
/shalenMathew/MovieFlix_App/releases,16,12
/shalenMathew/MovieFlix_App/issues,10,8
/shalenMathew/MovieFlix_App/blob/master,8,7
/shalenMathew/MovieFlix_App/tree/master/.github/workflows,3,3
/shalenMathew/MovieFlix_App/tree/master/app,3,3
/shalenMathew/MovieFlix_App/tree/master/app/src/main/java/com/shalenmathew/movieflix,3,3
/shalenMathew/MovieFlix_App/tree/master/app/src/main/java/com/shalenmathew/movieflix/data,3,2
/shalenMathew/MovieFlix_App/tree/master/app/src/main/java/com/shalenmathew/movieflix/data/network,3,2
