time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-06 00:00:00+00:00,14,6,36,15
2026-01-07 00:00:00+00:00,11,7,35,23
2026-01-08 00:00:00+00:00,6,6,21,18
2026-01-09 00:00:00+00:00,8,4,30,14
2026-01-10 00:00:00+00:00,13,5,18,12
2026-01-11 00:00:00+00:00,14,6,48,15
2026-01-12 00:00:00+00:00,48,9,31,14
2026-01-13 00:00:00+00:00,5,5,39,11
2026-01-14 00:00:00+00:00,14,6,39,16
2026-01-15 00:00:00+00:00,8,4,24,10
2026-01-16 00:00:00+00:00,19,12,42,11
2026-01-17 00:00:00+00:00,49,27,41,30
2026-01-18 00:00:00+00:00,13,9,20,16
2026-01-19 00:00:00+00:00,37,12,99,26
