time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-26 00:00:00+00:00,17,7,23,15
2025-12-27 00:00:00+00:00,13,7,41,11
2025-12-28 00:00:00+00:00,11,5,13,10
2025-12-29 00:00:00+00:00,20,12,35,14
2025-12-30 00:00:00+00:00,13,7,31,19
2025-12-31 00:00:00+00:00,11,7,19,13
2026-01-01 00:00:00+00:00,8,4,36,28
2026-01-02 00:00:00+00:00,8,4,57,37
2026-01-03 00:00:00+00:00,4,4,35,26
2026-01-04 00:00:00+00:00,11,6,31,23
2026-01-05 00:00:00+00:00,7,7,23,18
2026-01-06 00:00:00+00:00,14,6,36,15
2026-01-07 00:00:00+00:00,11,7,35,23
2026-01-08 00:00:00+00:00,6,6,21,18
