time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,5,5,11,11
2026-08-08 00:00:00+00:00,16,7,42,26
2026-08-09 00:00:00+00:00,52,23,36,24
2026-08-10 00:00:00+00:00,64,30,29,25
2026-08-11 00:00:00+00:00,32,27,51,25
2026-08-12 00:00:00+00:00,18,12,35,15
2026-08-13 00:00:00+00:00,10,6,26,18
2026-08-14 00:00:00+00:00,21,9,49,32
2026-08-15 00:00:00+00:00,351,343,32,26
2026-08-16 00:00:00+00:00,2,2,46,32
2026-08-17 00:00:00+00:00,4,4,57,36
2026-08-18 00:00:00+00:00,14,7,96,31
2026-08-19 00:00:00+00:00,4,4,30,21
2026-08-20 00:00:00+00:00,39,7,70,45
