time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,19,8,268,26
2025-10-27 00:00:00+00:00,12,9,177,28
2025-10-28 00:00:00+00:00,16,10,70,11
2025-10-29 00:00:00+00:00,8,3,103,13
2025-10-30 00:00:00+00:00,22,17,104,17
2025-10-31 00:00:00+00:00,11,9,68,18
2025-11-01 00:00:00+00:00,58,57,50,9
2025-11-02 00:00:00+00:00,19,6,46,18
2025-11-03 00:00:00+00:00,18,7,43,21
2025-11-04 00:00:00+00:00,9,6,32,13
2025-11-05 00:00:00+00:00,7,7,12,11
2025-11-06 00:00:00+00:00,7,4,24,9
2025-11-07 00:00:00+00:00,23,8,6,3
2025-11-08 00:00:00+00:00,10,3,8,4
