time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,58,57,50,9
2025-11-02 00:00:00+00:00,19,6,46,18
2025-11-03 00:00:00+00:00,18,7,43,21
2025-11-04 00:00:00+00:00,9,6,32,13
2025-11-05 00:00:00+00:00,7,7,12,11
2025-11-06 00:00:00+00:00,7,4,24,9
2025-11-07 00:00:00+00:00,23,8,6,3
2025-11-08 00:00:00+00:00,11,4,8,4
2025-11-09 00:00:00+00:00,14,7,7,5
2025-11-10 00:00:00+00:00,33,11,10,5
2025-11-11 00:00:00+00:00,24,9,2,2
2025-11-12 00:00:00+00:00,15,10,3,2
2025-11-13 00:00:00+00:00,19,6,2,2
2025-11-14 00:00:00+00:00,28,9,13,11
