time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,16,15,,
2025-10-09 00:00:00+00:00,11,8,1.0,1.0
2025-10-10 00:00:00+00:00,1,1,1.0,1.0
2025-10-11 00:00:00+00:00,1,1,,
2025-10-12 00:00:00+00:00,1,1,1.0,1.0
2025-10-13 00:00:00+00:00,2,2,,
2025-10-14 00:00:00+00:00,17,15,39.0,9.0
2025-10-15 00:00:00+00:00,14,11,293.0,86.0
2025-10-16 00:00:00+00:00,30,10,297.0,50.0
2025-10-17 00:00:00+00:00,11,9,159.0,40.0
2025-10-18 00:00:00+00:00,16,11,125.0,23.0
2025-10-19 00:00:00+00:00,5,2,96.0,19.0
2025-10-20 00:00:00+00:00,4,3,110.0,14.0
