url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,193,177
/shalenMathew/MovieFlix_App/releases/tag/v1.4,42,37
/shalenMathew/MovieFlix_App/releases,34,32
/shalenMathew/MovieFlix_App/issues,8,7
/shalenMathew/MovieFlix_App/blob/master,3,3
/shalenMathew/MovieFlix_App/tree/master/app,3,3
/shalenMathew/MovieFlix_App/tree/master,2,2
/shalenMathew/MovieFlix_App/tree/master/.github/workflows,2,2
/shalenMathew/MovieFlix_App/tree/master/gallery,2,2
/shalenMathew/MovieFlix_App/blob/master/.github/workflows/main_workflow.yml,1,1
