time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-19 00:00:00+00:00,11,7,22,13
2025-12-20 00:00:00+00:00,8,4,22,16
2025-12-21 00:00:00+00:00,26,16,52,12
2025-12-22 00:00:00+00:00,33,20,40,19
2025-12-23 00:00:00+00:00,3,3,20,14
2025-12-24 00:00:00+00:00,14,8,9,5
2025-12-25 00:00:00+00:00,9,7,22,14
2025-12-26 00:00:00+00:00,17,7,23,15
2025-12-27 00:00:00+00:00,13,7,41,11
2025-12-28 00:00:00+00:00,11,5,13,10
2025-12-29 00:00:00+00:00,20,12,35,14
2025-12-30 00:00:00+00:00,13,7,31,19
2025-12-31 00:00:00+00:00,11,7,19,13
2026-01-01 00:00:00+00:00,8,4,36,28
