url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,255,210
/shalenMathew/MovieFlix_App/releases/tag/v2.1,52,45
/shalenMathew/MovieFlix_App/releases,43,37
/shalenMathew/MovieFlix_App/issues,10,10
/shalenMathew/MovieFlix_App/tree/master,8,3
/shalenMathew/MovieFlix_App/tree/master/app,6,5
/shalenMathew/MovieFlix_App/discussions,6,3
/shalenMathew/MovieFlix_App/blob/master,3,3
/shalenMathew/MovieFlix_App/commit/1945ad88854c5c26b252cd2db127b9a7193ebde2,3,3
/shalenMathew/MovieFlix_App/issues/62,3,3
