time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,4,4,2,2
2025-12-12 00:00:00+00:00,10,6,6,3
2025-12-13 00:00:00+00:00,9,5,23,12
2025-12-14 00:00:00+00:00,11,6,18,12
2025-12-15 00:00:00+00:00,7,7,23,16
2025-12-16 00:00:00+00:00,10,6,33,19
2025-12-17 00:00:00+00:00,9,5,19,10
2025-12-18 00:00:00+00:00,10,5,26,11
2025-12-19 00:00:00+00:00,11,7,22,13
2025-12-20 00:00:00+00:00,8,4,22,16
2025-12-21 00:00:00+00:00,26,16,52,12
2025-12-22 00:00:00+00:00,33,20,40,19
2025-12-23 00:00:00+00:00,3,3,20,14
2025-12-24 00:00:00+00:00,5,5,8,4
