url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,280,248
/shalenMathew/MovieFlix_App/releases/tag/v1.3,44,35
/shalenMathew/MovieFlix_App/releases,29,25
/shalenMathew/MovieFlix_App/issues,6,5
/shalenMathew/MovieFlix_App/tree/master,6,4
/shalenMathew/MovieFlix_App/issues/66,6,3
/shalenMathew/MovieFlix_App/tree/master/app,5,3
/offa/android-foss,4,4
/shalenMathew/MovieFlix_App/blob/master/app/src/main/java/com/shalenmathew/movieflix/data/network/ApiClient.kt,4,1
/shalenMathew/MovieFlix_App/graphs/contributors,3,1
