url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,264,222
/shalenMathew/MovieFlix_App/releases/tag/v2.1,54,46
/shalenMathew/MovieFlix_App/releases,48,39
/shalenMathew/MovieFlix_App/issues,9,8
/shalenMathew/MovieFlix_App/discussions,7,3
/shalenMathew/MovieFlix_App/blob/master,3,3
/shalenMathew/MovieFlix_App/tree/master,3,2
/shalenMathew/MovieFlix_App/blob/master/BUG_FIX_NOTIFICATION_CRASH.md,2,2
/shalenMathew/MovieFlix_App/blob/master/gradlew.bat,2,2
/shalenMathew/MovieFlix_App/commit/1945ad88854c5c26b252cd2db127b9a7193ebde2,2,2
