time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-06 00:00:00+00:00,,,1.0,1.0
2025-10-08 00:00:00+00:00,16.0,15.0,,
2025-10-09 00:00:00+00:00,11.0,8.0,1.0,1.0
2025-10-10 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-11 00:00:00+00:00,1.0,1.0,,
2025-10-12 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-13 00:00:00+00:00,2.0,2.0,,
2025-10-14 00:00:00+00:00,17.0,15.0,39.0,9.0
2025-10-15 00:00:00+00:00,14.0,11.0,293.0,86.0
2025-10-16 00:00:00+00:00,30.0,10.0,297.0,50.0
2025-10-17 00:00:00+00:00,10.0,8.0,159.0,40.0
