time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-21 00:00:00+00:00,15,9,20,12
2026-01-22 00:00:00+00:00,8,7,41,20
2026-01-23 00:00:00+00:00,4,4,29,20
2026-01-24 00:00:00+00:00,22,11,28,21
2026-01-25 00:00:00+00:00,17,8,14,9
2026-01-26 00:00:00+00:00,19,9,17,14
2026-01-27 00:00:00+00:00,6,5,84,25
2026-01-28 00:00:00+00:00,19,10,21,15
2026-01-29 00:00:00+00:00,18,9,19,16
2026-01-30 00:00:00+00:00,10,9,17,14
2026-01-31 00:00:00+00:00,19,9,16,11
2026-02-01 00:00:00+00:00,20,11,32,17
2026-02-02 00:00:00+00:00,16,11,37,19
2026-02-03 00:00:00+00:00,3,3,30,17
