url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,215,187
/shalenMathew/MovieFlix_App/releases/tag/v1.4,34,29
/shalenMathew/MovieFlix_App/releases,24,21
/shalenMathew/MovieFlix_App/issues,11,5
/shalenMathew/MovieFlix_App/tree/master,9,6
/shalenMathew/MovieFlix_App/tree/master/app,9,6
/shalenMathew/MovieFlix_App/tree/master/fastlane/metadata/android/en-US,3,2
/shalenMathew/MovieFlix_App/commits/master/fastlane/metadata/android/en-US/title.txt,3,1
/shalenMathew/MovieFlix_App/blob/master/fastlane/metadata/android/en-US/title.txt,2,2
/shalenMathew/MovieFlix_App/issues/49,2,2
