time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,13,8,26,21
2026-05-24 00:00:00+00:00,68,31,28,14
2026-05-25 00:00:00+00:00,48,17,27,18
2026-05-26 00:00:00+00:00,25,9,16,12
2026-05-27 00:00:00+00:00,84,43,35,24
2026-05-28 00:00:00+00:00,44,24,24,16
2026-05-29 00:00:00+00:00,93,28,39,27
2026-05-30 00:00:00+00:00,22,12,34,25
2026-05-31 00:00:00+00:00,22,11,41,26
2026-06-01 00:00:00+00:00,23,12,17,15
2026-06-02 00:00:00+00:00,29,15,16,9
2026-06-03 00:00:00+00:00,42,21,17,10
2026-06-04 00:00:00+00:00,15,9,25,12
2026-06-05 00:00:00+00:00,25,5,32,21
