time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,21,9,49,32
2026-08-15 00:00:00+00:00,351,343,32,26
2026-08-16 00:00:00+00:00,2,2,46,32
2026-08-17 00:00:00+00:00,4,4,57,36
2026-08-18 00:00:00+00:00,14,7,96,31
2026-08-19 00:00:00+00:00,4,4,30,21
2026-08-20 00:00:00+00:00,39,7,70,45
2026-08-21 00:00:00+00:00,11,7,44,28
2026-08-22 00:00:00+00:00,10,5,42,23
2026-08-23 00:00:00+00:00,3,3,53,30
2026-08-24 00:00:00+00:00,7,6,40,25
2026-08-25 00:00:00+00:00,18,10,78,46
2026-08-26 00:00:00+00:00,6,5,38,30
2026-08-27 00:00:00+00:00,6,6,20,16
