url_path,views_total,views_unique
/shalenMathew/MovieFlix_App,206,183
/shalenMathew/MovieFlix_App/releases/tag/v1.4,27,23
/shalenMathew/MovieFlix_App/releases,17,14
/shalenMathew/MovieFlix_App/blob/master,9,8
/shalenMathew/MovieFlix_App/issues,8,6
/shalenMathew/MovieFlix_App/tree/master/app,6,6
/shalenMathew/MovieFlix_App/tree/master/app/src/main/java/com/shalenmathew/movieflix,6,6
/shalenMathew/MovieFlix_App/tree/master/app/src/main,5,5
/shalenMathew/MovieFlix_App/blob/master/app/src/main/java/com/shalenmathew/movieflix/MovieFlixApp.kt,4,4
/shalenMathew/MovieFlix_App/tree/master/app/src,4,4
