time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,15,13,21,16
2026-04-03 00:00:00+00:00,13,8,21,15
2026-04-04 00:00:00+00:00,5,4,16,13
2026-04-05 00:00:00+00:00,14,9,28,18
2026-04-06 00:00:00+00:00,12,8,23,17
2026-04-07 00:00:00+00:00,12,7,16,5
2026-04-08 00:00:00+00:00,6,5,20,16
2026-04-09 00:00:00+00:00,2,2,14,11
2026-04-10 00:00:00+00:00,7,7,23,15
2026-04-11 00:00:00+00:00,25,8,14,12
2026-04-12 00:00:00+00:00,4,4,26,19
2026-04-13 00:00:00+00:00,20,10,23,15
2026-04-14 00:00:00+00:00,32,10,22,19
2026-04-15 00:00:00+00:00,108,8,17,13
