time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-03 00:00:00+00:00,18,9,15,11
2026-03-04 00:00:00+00:00,10,9,28,15
2026-03-05 00:00:00+00:00,6,5,11,9
2026-03-06 00:00:00+00:00,16,7,16,8
2026-03-07 00:00:00+00:00,4,4,33,22
2026-03-08 00:00:00+00:00,7,6,9,8
2026-03-09 00:00:00+00:00,10,9,14,10
2026-03-10 00:00:00+00:00,16,7,13,9
2026-03-11 00:00:00+00:00,8,5,26,12
2026-03-12 00:00:00+00:00,7,6,9,7
2026-03-13 00:00:00+00:00,16,7,52,11
2026-03-14 00:00:00+00:00,20,11,38,26
2026-03-15 00:00:00+00:00,11,6,43,30
2026-03-16 00:00:00+00:00,18,12,31,18
