time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-12 00:00:00+00:00,24,8,50,21
2026-07-13 00:00:00+00:00,10,6,11,9
2026-07-14 00:00:00+00:00,27,12,18,14
2026-07-15 00:00:00+00:00,14,5,15,10
2026-07-16 00:00:00+00:00,9,4,9,5
2026-07-17 00:00:00+00:00,11,6,19,15
2026-07-18 00:00:00+00:00,8,4,19,16
2026-07-19 00:00:00+00:00,15,6,29,17
2026-07-20 00:00:00+00:00,32,5,18,14
2026-07-21 00:00:00+00:00,22,9,14,10
2026-07-22 00:00:00+00:00,18,9,14,11
2026-07-23 00:00:00+00:00,4,4,25,11
2026-07-24 00:00:00+00:00,25,12,29,20
2026-07-25 00:00:00+00:00,20,9,24,18
